Address,City,State,Postal,County,Date,Time,Case,URL,Source,Atty,Atty_Contact
0 Cir S Ne,Thornville ,OH, 4307,Fairfield,07/25/2025,11:00 AM ET,2024 CV 01068,https://fairfield.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/25/2025,Realforeclose.com,,
0 Hawkins Ave,Akron ,OH, 4432,Summit,07/11/2025,10:00 AM ET,CV2024062269 (9487),https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
1 Columbia Rd,Billerica,MA,01821, Middlesex ,2025-07-30 00:00:00,2:00 pm,24-000926,https://www.auction.com/details/1-columbia-rd-billerica-ma-1783180,Auction.com,Orlans PC,(781) 790-7800
1 E 10Th St,Ocean City,NJ,08226, Cape May ,2025-07-09 00:00:00,1:00 pm,,https://www.auction.com/details/1-e-10th-st-ocean-city-nj-1749407,Auction.com,Logs Legal Group LLP,(856) 793-3080
1 Gatewood Cv,Little Rock,AR,72206,Pulaski,2025-08-07 00:00:00,10:00AM,,https://www.xome.com/auctions/1-Gatewood-Cv-Little-Rock-AR-72206-406923583,Xome.com,"Mickel Law Firm, P.A.",888-217-5535
1 Greenwood Ave,Lock Haven,PA,17745,Clinton,2025-07-09 00:00:00,10:00AM,,https://www.xome.com/auctions/1-Greenwood-Ave-Lock-Haven-PA-17745-385179181,Xome.com,"Brock And Scott, PLLC",317-537-3001
1 Harrison Ave,Ilion,NY,13357, Herkimer ,2025-07-10 00:00:00,9:00 am,1011400,https://www.auction.com/details/1-harrison-ave-ilion-ny-1752139,Auction.com,"Roach & Lin, P.C",
1 Kent Ct,Lawrenceville,NJ,08648, Mercer ,2025-07-09 00:00:00,2:00 pm,190167-5,https://www.auction.com/details/1-kent-ct-lawrenceville-nj-1767670,Auction.com,Friedman Vartolo LLP,
1 Main Rd,Hibernia,NJ,07842, Morris ,2025-07-24 00:00:00,2:00 pm,,https://www.auction.com/details/1-main-rd-hibernia-nj-1778420,Auction.com,"Pincus Law Group, PLLC",(516) 699-8902
1 Manhattan Pl,Huntington,NY,11743, Suffolk ,2025-07-23 00:00:00,2:00 pm,14-031395,https://www.auction.com/details/1-manhattan-pl-huntington-ny-1766450,Auction.com,Logs Legal Group LLP,(585) 247-9000
1 Pimm Ave,Auburn,NY,13021, Cayuga ,2025-07-09 00:00:00,10:00 am,22-013920,https://www.auction.com/details/1-pimm-ave-auburn-ny-1737840,Auction.com,"Robertson, Anschutz, Schneid, Crane & Partners, PLLC",(516) 280-7675
1 Rainbow Dr,Humboldt,IA,50548, Humboldt ,2025-07-22 00:00:00,,,https://www.auction.com/details/1-rainbow-dr-humboldt-ia-1751204,Auction.com,"South Law, P.C.",(913) 663-7600
1 Short St,Dumont,NJ,07628, Bergen ,2025-07-25 00:00:00,12:00 pm,03-021324-F00,https://www.auction.com/details/1-short-st-dumont-nj-1790097,Auction.com,"Frenkel, Lambert, Weiss, Weisman And Gordon LLP",
1 Sunset Terr,Stockholm,NJ,07460, Sussex ,2025-08-06 00:00:00,2:00 pm,23-110202,https://www.auction.com/details/1-sunset-ter-stockholm-nj-1790404,Auction.com,"Ras Citron, LLC - Nj",
1 Trudy Trl,Fairfield,PA,17320, Adams ,2025-07-18 00:00:00,,24-198447,https://www.auction.com/details/1-trudy-trl-fairfield-pa-1753643,Auction.com,"Ras Citron, LLC",
