Address,Address2,County,Date,Case,URL,Source,Atty,Atty_Contact
1 KIMBERLY CIRCLE,"Lonoke,  AR  72086",Lonoke,Jul 02 2025 at 11:00 AM local,15-000037-810-7,https://www.hubzu.com/property/87917261671-1-KIMBERLY-CIRCLE-Lonoke-AR-72086,Hubzu.com,"Mackie Wolf Zientz & Mann, P.C.",501-218-8111
101 HANOVER CT,"Summerville,  SC  29485",Dorchester,Jul 01 2025 at 11:00 AM local,020139-00512,https://www.hubzu.com/property/90117303517-101-HANOVER-CT-Summerville-SC-29485,Hubzu.com,"Rogers Townsend & Thomas, P.C.",803-771-7900
101 HIGHLAND AVE,"Sterling,  CO  80751",Logan,Jul 09 2025 at 10:00 AM local,25-033859,https://www.hubzu.com/property/91717242327-101-HIGHLAND-AVE-Sterling-CO-80751,Hubzu.com,Janeway Law Firm,303-706-9990
101 STRIPPIT RD,"Poteau,  OK  74953",Le Flore,Jul 08 2025 at 10:00 AM local,CJ-2023-209,https://www.hubzu.com/property/87916832333-101-STRIPPIT-RD-Poteau-OK-74953,Hubzu.com,The Mortgage Law Firm,619-465-8200
102 Grow Ln,"Streamwood,  IL  60107",Cook,Jul 28 2025 at 10:30 AM local,45-1177,https://www.hubzu.com/property/91716929988-102-Grow-Ln-Streamwood-IL-60107,Hubzu.com,Codilis & Associates PC,630-794-5300
102 KEARNEY AVE,"Jersey City,  NJ  07305",Hudson,Jul 24 2025 at 2:00 PM local,F-001690-22,https://www.hubzu.com/property/87916431131-102-KEARNEY-AVE-Jersey-City-NJ-07305,Hubzu.com,Hill Wallack LLP,609-924-0808
103 PEAKE LN,"Summerville,  SC  29485",Dorchester,Jul 01 2025 at 11:00 AM local,251070.00051,https://www.hubzu.com/property/90117301644-103-PEAKE-LN-Summerville-SC-29485,Hubzu.com,"Scott and Corley, P.A.",803-252-3340
1043  BOONES HOLLOW DR,"Cordova,  TN  38018",SHELBY,Jul 22 2025 at 10:00 AM local,,https://www.hubzu.com/property/87916430781-1043-BOONES-HOLLOW-DR-Cordova-TN-38018,Hubzu.com,Bell Carrington & Price LLC,803-509-5078
105 ROSE MOUNTAIN,"Oceana,  WV  24870",Wyoming,Jul 08 2025 at 12:00 PM local,,https://www.hubzu.com/property/91717022679-105-ROSE-MOUNTAIN-Oceana-WV-24870,Hubzu.com,"Reisenfeld & Associates, LLC",800-886-0831
1050 N MAIN ST,"Tipton,  IN  46072",Tipton,Jul 03 2025 at 2:00 PM local,15-24-01502,https://www.hubzu.com/property/90117301660-1050-N-MAIN-ST-Tipton-IN-46072,Hubzu.com,"Codilis Law, LLC",219-736-5579
107 PENNSYLVANIA LN,"New Florence,  PA  15944",Westmoreland,Jul 07 2025 at 10:00 AM local,,https://www.hubzu.com/property/91716916786-107-PENNSYLVANIA-LN-New-Florence-PA-15944,Hubzu.com,Stern & Eisenberg PC,215-572-8111
10734 HUESEMAN RD,"Aurora,  IN  47001",Dearborn,Jul 24 2025 at 1:30 PM local,,https://www.hubzu.com/property/87916770409-10734-HUESEMAN-RD-Aurora-IN-47001,Hubzu.com,Lender Legal PLLC,407-999-0089
1103 SPANISH OAK DR,"Pearl,  MS  39208",RANKIN,Jul 02 2025 at 11:00 AM local,MS21138,https://www.hubzu.com/property/91716775496-1103-SPANISH-OAK-DR-Pearl-MS-39208,Hubzu.com,Halliday Watkins & Mann PC,801-355-2886
1109 W GOURLEY PIKE,"Bloomington,  IN  47404",Monroe,Jul 18 2025 at 10:00 AM local,G228-116,https://www.hubzu.com/property/90117303516-1109-W-GOURLEY-PIKE-Bloomington-IN-47404,Hubzu.com,"Doyle & Foutty, P.C.",317-264-5000
1111 N LONGSTREET ST,"Kingstree,  SC  29556",Williamsburg,Jul 07 2025 at 12:00 PM local,251136.00118,https://www.hubzu.com/property/90117321025-1111-N-LONGSTREET-ST-Kingstree-SC-29556,Hubzu.com,"Scott and Corley, P.A.",803-252-3340
1120 BOMAR LN,"Greenwood,  IN  46142",Johnson,Jul 17 2025 at 10:00 AM local,111530F01,https://www.hubzu.com/property/90117305376-1120-BOMAR-LN-Greenwood-IN-46142,Hubzu.com,Feiwell & Hannoy PC,317-237-2727
115 OLD CAMPTOWN DR,"Hayesville,  NC  28904",Clay,Jul 03 2025 at 11:00 AM local,25-03137-FC01,https://www.hubzu.com/property/91717232101-115-OLD-CAMPTOWN-DR-Hayesville-NC-28904,Hubzu.com,Brock & Scott PLLC,844-856-6646
117 PARSONS RD,"Oak Ridge,  TN  37830",Anderson,Jul 08 2025 at 11:00 AM local,25-000148-671-1,https://www.hubzu.com/property/91717304569-117-PARSONS-RD-Oak-Ridge-TN-37830,Hubzu.com,"Mackie Wolf Zientz & Mann, P.C.",615-238-3630
118 COLUMBIA AVE,"Tipton,  IN  46072",,,24-009488,https://www.hubzu.com/property/91716978700-118-COLUMBIA-AVE-Tipton-IN-46072,Hubzu.com,Manley Deas & Kochalski LLC,614-220-5611
120 DRY BRANCH CT,"Aiken,  SC  29803",Aiken,Jul 07 2025 at 11:00 AM local,,https://www.hubzu.com/property/90117014548-120-DRY-BRANCH-CT-Aiken-SC-29803,Hubzu.com,Brock & Scott PLLC,844-856-6646
121 FIELDSTONE RD,"Spartanburg,  SC  29301",Spartanburg,Jul 07 2025 at 11:00 AM local,241136.00257,https://www.hubzu.com/property/90117264916-121-FIELDSTONE-RD-Spartanburg-SC-29301,Hubzu.com,"Scott and Corley, P.A.",803-252-3340
1211 BOWER ST,"Elkhart,  IN  46514",Elkhart,Jul 23 2025 at 10:30 AM local,110672F01,https://www.hubzu.com/property/90117303514-1211-BOWER-ST-Elkhart-IN-46514,Hubzu.com,Feiwell & Hannoy PC,317-237-2727
1211 S GILBERT ST UNIT 205,"Castle Rock,  CO  80104",Douglas,Jul 23 2025 at 10:00 AM local,10356749,https://www.hubzu.com/property/91717216270-1211-S-GILBERT-ST-UNIT-205-Castle-Rock-CO-80104,Hubzu.com,Barrett Frappier & Weisserman LLP,972-386-5040
1213 GOFFIN DR,"Desoto,  TX  75115",DALLAS,Jul 01 2025 at 1:00 PM local,20-000356-673,https://www.hubzu.com/property/91716769486-1213-GOFFIN-DR-Desoto-TX-75115,Hubzu.com,"Power Default Services, Inc.",866-960-8299
1217 S 19TH ST,"Tacoma,  WA  98405",PIERCE,Aug 01 2025 at 10:00 AM local,2024-00222-WA,https://www.hubzu.com/property/91717102060-1217-S-19TH-ST-Tacoma-WA-98405,Hubzu.com,"Western Progressive - Washington, Inc.",866-960-8299
1220 COLERICK ST,"Fort Wayne,  IN  46806",Allen,Jul 23 2025 at 2:00 PM local,15-24-01189,https://www.hubzu.com/property/90117301658-1220-COLERICK-ST-Fort-Wayne-IN-46806,Hubzu.com,"Codilis Law, LLC",219-736-5579
1245 GLORY VINE RD,"Whitsett,  NC  27377",GUILFORD,Jul 01 2025 at 2:00 PM local,25SP248,https://www.hubzu.com/property/87916670464-1245-GLORY-VINE-RD-Whitsett-NC-27377,Hubzu.com,McMichael Taylor Gray LLC,404-474-7149
12482 WESTHAMPTON CIR,"Wellington,  FL  33414",Palm Beach,Jul 31 2025 at 10:00 AM local,24-002583-1,https://www.hubzu.com/property/87917264552-12482-WESTHAMPTON-CIR-Wellington-FL-33414,Hubzu.com,Lender Legal PLLC,407-999-0089
125 PENNSYLVANIA AVE,"Ottumwa,  IA  52501",Wapello,Jul 30 2025 at 10:15 AM local,243247,https://www.hubzu.com/property/90116978414-125-PENNSYLVANIA-AVE-Ottumwa-IA-52501,Hubzu.com,"SouthLaw, P.C.",800-381-1536
1292 CHARLOTTES RD,"Clinton,  SC  29325",Laurens,Jul 07 2025 at 11:00 AM local,,https://www.hubzu.com/property/90117023455-1292-CHARLOTTES-RD-Clinton-SC-29325,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",470-321-7112
13 CRAIGIE AVE,"Lawrence,  NJ  08648",Mercer,Jul 09 2025 at 2:00 PM local,24-194908,https://www.hubzu.com/property/91716940370-13-CRAIGIE-AVE-Lawrence-NJ-08648,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",973-575-0707
1332 DOGWOOD DR,"Orangeburg,  SC  29118",Orangeburg,Jul 07 2025 at 2:00 PM local,013225-03806,https://www.hubzu.com/property/90117305380-1332-DOGWOOD-DR-Orangeburg-SC-29118,Hubzu.com,"Rogers Townsend & Thomas, P.C.",803-771-7900
14 WESTBROOK LN,"Greenville,  SC  29605",Greenville,Jul 07 2025 at 11:00 AM local,4016.18224,https://www.hubzu.com/property/90117302381-14-WESTBROOK-LN-Greenville-SC-29605,Hubzu.com,"Riley Pope & Laney, LLC",803-799-9993
1406 ASHLEY AVE,"Fort Wayne,  IN  46825",Allen,Jul 23 2025 at 2:00 PM local,G338-314,https://www.hubzu.com/property/90117301656-1406-ASHLEY-AVE-Fort-Wayne-IN-46825,Hubzu.com,"Doyle & Foutty, P.C.",317-264-5000
1409 17TH ST E,"Bradenton,  FL  34208",Manatee,Jul 22 2025 at 11:00 AM local,,https://www.hubzu.com/property/91716992806-1409-17TH-ST-E-Bradenton-FL-34208,Hubzu.com,"Van Ness Law Firm, PLC",954-571-2031
1419 PASO ROBLES AVE,"Sierra Vista,  AZ  85635",Cochise,Jul 29 2025 at 10:30 AM local,2025-00112-AZ,https://www.hubzu.com/property/91717244372-1419-PASO-ROBLES-AVE-Sierra-Vista-AZ-85635,Hubzu.com,"Western Progressive - Arizona, Inc.",866-960-8299
14298 DELANEY DR,"Fishers,  IN  46038",Hamilton,Jul 10 2025 at 10:00 AM local,29D02-2402-MF-001456,https://www.hubzu.com/property/90117145843-14298-DELANEY-DR-Fishers-IN-46038,Hubzu.com,"Diaz Anselmo Lindberg, P.A.",630-453-6800
1460 CHEROKEE RD,"Florence,  SC  29501",Florence,Jul 01 2025 at 11:00 AM local,,https://www.hubzu.com/property/90117302387-1460-CHEROKEE-RD-Florence-SC-29501,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",470-321-7112
15 GOLDEN OAKS LN,"Fletcher,  NC  28732",Henderson,Jul 15 2025 at 11:00 AM local,25-07601,https://www.hubzu.com/property/91717244467-15-GOLDEN-OAKS-LN-Fletcher-NC-28732,Hubzu.com,Brock & Scott PLLC,844-856-6646
1508 GREENWOOD AVE,"Trenton,  NJ  08609",Mercer,Jul 09 2025 at 2:00 PM local,23-122320-LeR,https://www.hubzu.com/property/91716527741-1508-GREENWOOD-AVE-Trenton-NJ-08609,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",973-575-0707
151 CURTISWOOD AVE,"Sumter,  SC  29150",Sumter,Jul 07 2025 at 12:00 PM local,17560-115832,https://www.hubzu.com/property/91716852158-151-CURTISWOOD-AVE-Sumter-SC-29150,Hubzu.com,Hutchens Law Firm,803-726-2700
15124 SE YAMHILL ST,"Portland,  OR  97233",Multnomah,Jul 30 2025 at 10:00 AM local,132048-OR,https://www.hubzu.com/property/91717216355-15124-SE-YAMHILL-ST-Portland-OR-97233,Hubzu.com,Aldridge Pite LLP,858-750-7600
1518 CLEVELAND AVE,"La Grange Park,  IL  60526",Cook,Jul 07 2025 at 10:30 AM local,45-1201,https://www.hubzu.com/property/91716798040-1518-CLEVELAND-AVE-La-Grange-Park-IL-60526,Hubzu.com,Codilis & Associates PC,630-794-5300
1540 W 74TH PL,"Merrillville,  IN  46410",Lake,Aug 01 2025 at 10:00 AM local,23-030156,https://www.hubzu.com/property/91716896027-1540-W-74TH-PL-Merrillville-IN-46410,Hubzu.com,Manley Deas & Kochalski LLC,614-220-5611
157 NORTH ST,"Wellford,  SC  29385",Spartanburg,Jul 07 2025 at 11:00 AM local,21639-105326,https://www.hubzu.com/property/90117305381-157-NORTH-ST-Wellford-SC-29385,Hubzu.com,Hutchens Law Firm,803-726-2700
