Address,City,State,Postal,County,Date,Time,Case,URL,Source,Atty,Atty_Contact
816 W NORTHGATE PARKWAY,TOLEDO ,OH, 43612,lucas,07/02/2025,10:00 AM ET,CI202304741 (2538),https://lucas.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
3340 BRODBECK PL,CINCINNATI ,OH, 45211,hamilton,07/02/2025,11:00 AM ET,A1905796 (11072),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
2605 HARRISON AVE,CINCINNATI ,OH, 45211,hamilton,07/02/2025,11:00 AM ET,A2400376 (11077),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
1774 VICTORIA COURT,CINCINNATI ,OH, 45215,hamilton,07/02/2025,11:00 AM ET,A2002969 (11080),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
2453 DORIAN DR,CINCINNATI ,OH, 45215,hamilton,07/02/2025,11:00 AM ET,A2103365 (11084),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
517 RIDDLE ROAD,CINCINNATI ,OH, 45220,hamilton,07/02/2025,11:00 AM ET,A2500633 (11074),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
7425 MARTIN STREET,CINCINNATI ,OH, 45231,hamilton,07/02/2025,11:00 AM ET,A2500815 (11075),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
4131 SIBLEY AVENUE,CINCINNATI ,OH, 45236,hamilton,07/02/2025,11:00 AM ET,A2402447 (11086),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
9289 MCKINNEY RD,CINCINNATI ,OH, 45249,hamilton,07/02/2025,11:00 AM ET,A2404395 (11087),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
10170 SNOWFLAKE LN,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2201677 (11081),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
11888 LICK RD,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2204088 (11085),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
9503 HADDINGTON CT,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2401286 (11078),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
10220 WINDSWEPT LN,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2401552 (11079),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
3252 DESHLER DR,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2405691 (11073),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
7503 ROCKY RIDGE RD SW,STONECREEK ,OH, 43840,tuscarawas,07/03/2025,09:00 AM ET,2024 CF 10 0920 (0),https://tuscarawas.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
14895 GAR HWY,CHARDON ,OH, 44024,geauga,07/03/2025,10:00 AM ET,24F000386 (0),https://geauga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
9603 MAYFIELD RD,CHESTERLAND ,OH, 44026,geauga,07/03/2025,10:00 AM ET,23F000071 (0),https://geauga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
2317 TAMPA AVENUE,CLEVELAND ,OH, 441090000,cuyahoga,07/07/2025,09:00 AM ET,CV24108077 (51672),https://cuyahoga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
13609 SHAKER BOULEVARD,CLEVELAND ,OH, 44120,cuyahoga,07/07/2025,09:00 AM ET,CV24995559 (51854),https://cuyahoga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
17408 WOODBURY AVENUE,CLEVELAND ,OH, 44135,cuyahoga,07/07/2025,09:00 AM ET,CV23982733 (51669),https://cuyahoga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
24354 BEACHLAND DRIVE,EUCLID ,OH, 44123,cuyahoga,07/07/2025,09:00 AM ET,CV24997313 (51673),https://cuyahoga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
789 FRANKLIN BOULEVARD,HIGHLAND HEIGHTS ,OH, 44143,cuyahoga,07/07/2025,09:00 AM ET,CV23974662 (51324),https://cuyahoga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
3170 BROWN RD,ASHTABULA ,OH, 44004,ashtabula,07/07/2025,10:00 AM ET,24CV553 (0),https://ashtabula.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
1905 S. RIDGE RD,ASHTABULA ,OH, 44004,ashtabula,07/07/2025,10:00 AM ET,24CV721 (0),https://ashtabula.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
3845 OAKRIDGE DR NE,LOUISVILLE ,OH, 44641,stark,07/07/2025,10:00 AM ET,2024CV02300 (0),https://stark.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
2130 OLD MILL ROAD,MADISON ,OH, 44057,lake,07/07/2025,10:00 AM ET,23CF001068 (0),https://lake.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
1597 KIMBALL DRIVE,MADISON ,OH, 44057,lake,07/07/2025,10:00 AM ET,24CF001722 (0),https://lake.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
576 23RD STREET NW,MASSILLON ,OH, 44647,stark,07/07/2025,10:00 AM ET,2025CV00104 (0),https://stark.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
812 CLEARMOUNT AVE SE,NORTH CANTON ,OH, 44720,stark,07/07/2025,10:00 AM ET,2024CV02277 (0),https://stark.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
104 OVERLOOK ROAD,PAINESVILLE ,OH, 44077,lake,07/07/2025,10:00 AM ET,24CF000891 (0),https://lake.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
9972 HUDSON AURORA RD.,HUDSON ,OH, 44236,portage,07/07/2025,11:00 AM ET,2023FSH0000232OH672,https://portage.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
646 JOHNSON ROAD,KENT ,OH, 44240,portage,07/07/2025,11:00 AM ET,2023FSH0000573OH671,https://portage.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
2394 MELOY ROAD,KENT ,OH, 44240,portage,07/07/2025,11:00 AM ET,2023FSH0000910OH672,https://portage.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
5664 MCCORMICK RD.,RAVENNA ,OH, 44266,portage,07/07/2025,11:00 AM ET,2024FSH0000983OH672,https://portage.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
289 ARLEDGE DRIVE,COMMERCIAL POINT ,OH, 43116,pickaway,07/08/2025,01:30 PM ET,2024CI0173 (0),https://pickaway.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/08/2025,Realforeclose.com,,
511 SOUTH DAVIS STREET,FOREST ,OH, 45843,hardin,07/08/2025,10:00 AM ET,CVE20241166 (0),https://hardin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/08/2025,Realforeclose.com,,
