Address,Address2,Date,Case,URL,Source,Atty,Atty_Contact,Text,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8,Text9
903 E Trapnell Rd,Plant City FL 33566,"June 27, 10:00 AM",,https://www.xome.com/auctions/903-E-Trapnell-Rd-Plant-City-FL-33566-396128719,Xome.com,"Tromberg, Morris & Partners, PLLC",561-338-4101,"Property Type:
                      
                            Manufactured Home","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1995","Municipality
                            County:
                      
                            HILLSBOROUGH","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1678 (approx)","Lot Size:
                      
                            1.08 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
7271 Leh Street,Coopersburg PA 18036,"June 27, 10:00 AM",,https://www.xome.com/auctions/7271-Leh-Street-Coopersburg-PA-18036-381957076,Xome.com,"Brock and Scott, PLLC",317-537-3001,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full/1 Half","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            2001","Municipality
                            County:
                      
                            LEHIGH","Bedrooms:
                      
                            4","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            2467 (approx)","Lot Size:
                      
                            7.59 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
401 Bradford St,Grayson KY 41143,"June 27, 10:00 AM",,https://www.xome.com/auctions/401-Bradford-St-Grayson-KY-41143-407363023,Xome.com,"Millsap & Singer, P.C.",636-537-0110,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            1 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1978","Municipality
                            County:
                      
                            CARTER","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1368 (approx)","Lot Size:
                      
                            0.43 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
1067 Ducey Ave,Muskegon MI 49442,"June 27, 10:00 AM",,https://www.xome.com/auctions/1067-Ducey-Ave-Muskegon-MI-49442-406889124,Xome.com,"Randall S. Miller & Associates, P.C",248-335-9200,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            1 Full/1 Half","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1968","Municipality
                            County:
                      
                            MUSKEGON","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1501 (approx)","Lot Size:
                      
                            0.15 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
85 Bushnell St,Terryville CT 06786,"June 28, 12:00 PM",,https://www.xome.com/auctions/85-Bushnell-St-Terryville-CT-6786-405161065,Xome.com,"Leopold & Associates, PLLC",914-219-5787,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1900","Municipality
                            County:
                      
                            LITCHFIELD","Bedrooms:
                      
                            2","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1425 (approx)","Lot Size:
                      
                            0.22 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
5556 Andover Blvd,Garfield Heights OH 44125,"June 30, 09:00 AM
                                
                                          - June 30, 02:00 PM",,https://www.xome.com/auctions/5556-Andover-Blvd-Garfield-Heights-OH-44125-407245601,Xome.com,"Reisenfeld & Associates, LLC",513-322-7000,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            1 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1965","Municipality
                            County:
                      
                            CUYAHOGA","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1204 (approx)","Lot Size:
                      
                            0.17 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
5416 Liberty Road,Ethelsville AL 35461,"June 30, 11:00 AM
                                
                                          - June 30, 04:00 PM",,https://www.xome.com/auctions/5416-Liberty-Road-Ethelsville-AL-35461-406889122,Xome.com,"McMichael Taylor Gray, LLC",404-474-7149,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1993","Stories:
                      
                            1","Bedrooms:
                      
                            4","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1782 (approx)","Lot Size:
                      
                            1.48 Acres","Municipality
                            County:
                      
                            PICKENS"
303 Dursey Dr,Pinole CA 94564,"June 30, 01:30 PM",,https://www.xome.com/auctions/303-Dursey-Dr-Pinole-CA-94564-406806236,Xome.com,"Nestor Solutions, LLC","214 5th St, Suite 205, Huntington Beach, CA 92648","Property Type:
                      
                            Condo","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1991","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent.","Bedrooms:
                      
                            2","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            934 (approx)","Municipality
                            County:
                      
                            CONTRA COSTA","Property #:
                      
                            P114REM"
22820 Sw 179th Pl,Miami FL 33170,"June 30, 09:00 AM",,https://www.xome.com/auctions/22820-Sw-179th-Pl-Miami-FL-33170-406764735,Xome.com,"Miller, George & Suggs, PLLC",786-268-9954,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1989","Municipality
                            County:
                      
                            MIAMI-DADE","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1932 (approx)","Lot Size:
                      
                            0.75 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
1433 Se 27 Ter,Homestead FL 33035,"June 30, 09:00 AM",,https://www.xome.com/auctions/1433-Se-27-Ter-Homestead-FL-33035-406764733,Xome.com,"Miller, George & Suggs, PLLC",786-268-9954,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            3 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            2021","Municipality
                            County:
                      
                            MIAMI-DADE","Bedrooms:
                      
                            5","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            2905 (approx)","Lot Size:
                      
                            0.16 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
1300 Cabrillo Park Dr B,Santa Ana CA 92701,"June 30, 01:30 PM",,https://www.xome.com/auctions/1300-Cabrillo-Park-Dr-B-Santa-Ana-CA-92701-406513020,Xome.com,"Vylla Solutions, LLC","1600 S. Douglass Rd., Suite 140, Anaheim, CA 92806","Property Type:
                      
                            Condo","Bathrooms:
                      
                            1 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1974","Municipality
                            County:
                      
                            ORANGE","Bedrooms:
                      
                            1","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            694 (approx)","Stories:
                      
                            2","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
870 Newell St,Painesville OH 44077,"June 30, 10:00 AM
                                
                                          - June 30, 02:00 PM",,https://www.xome.com/auctions/870-Newell-St-Painesville-OH-44077-406512151,Xome.com,"Sandhu Law Group, LLC",216-373-1001,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            1 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1948","Stories:
                      
                            1.5","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            874 (approx)","Lot Size:
                      
                            0.35 Acres","Municipality
                            County:
                      
                            LAKE"
21 Colonel Ct,Holmes NY 12531,"June 30, 11:30 AM",,https://www.xome.com/auctions/21-Colonel-Ct-Holmes-NY-12531-405919811,Xome.com,"McCalla Raymer Leibert Pierce, LLC",347-286-7409,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1971","Municipality
                            County:
                      
                            PUTNAM","Bedrooms:
                      
                            2","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1108 (approx)","Lot Size:
                      
                            0.85 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
18720 Coshocton Rd,Mount Vernon OH 43050,"June 27, 09:00 AM
                                
                                          - June 27, 02:00 PM",,https://www.xome.com/auctions/18720-Coshocton-Rd-Mount-Vernon-OH-43050-407246178,Xome.com,"Brock and Scott, PLLC",910-202-2750,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1947","Municipality
                            County:
                      
                            KNOX","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1642 (approx)","Lot Size:
                      
                            3 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
2906 Yale Dr,Farmington NM 87402,"June 30, 10:00 AM",,https://www.xome.com/auctions/2906-Yale-Dr-Farmington-NM-87402-405556758,Xome.com,"Tiffany & Bosco, P.A.",505-248-2400,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            1 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1960","Municipality
                            County:
                      
                            SAN JUAN","Bedrooms:
                      
                            2","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1239 (approx)","Lot Size:
                      
                            0.15 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
25 Clayton Drive,Hampton VA 23669,"June 30, 03:00 PM",,https://www.xome.com/auctions/25-Clayton-Drive-Hampton-VA-23669-405351978,Xome.com,Orlans Law Group PLLC,248-502-1400,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            1 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1948","Municipality
                            County:
                      
                            HAMPTON","Bedrooms:
                      
                            2","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            888 (approx)","Lot Size:
                      
                            0.13 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
