Value,Address,Address2,Date,Time,Date2,Time2,Case,URL,Source,Atty,Atty_Contact
,504 Avenue A,"Kentwood, LA 70444, Tangipahoa County","Wednesday, Sep 24, 2025
Add to calendar",TBD,,,25-033774-FC0...,https://www.auction.com/details/504-avenue-a-kentwood-la-1773378,Auction.com,"Shapiro and Daigrepont, L.L.C.",
,17272 Hwy 40 E,"Independence, LA 70443, Tangipahoa Parish County","Wednesday, Sep 24, 2025
Add to calendar",TBD,,,,https://www.auction.com/details/17272-highway-40-e-independence-la-1782824,Auction.com,"Shapiro and Daigrepont, L.L.C.",
,7661 North Heartland Drive,"Coeur D Alene, ID 83815, Kootenai County","Wednesday, Sep 24, 2025
Add to calendar",9:00 am,,,48192406,https://www.auction.com/details/7661-n-heartland-dr-coeur-d-alene-id-1746895,Auction.com,IDEA Law Group LLC,Borrowers/homeowners should call (877) 353-2146
,5947w Alliance St,"Rathdrum, ID 83858, Kootenai County","Wednesday, Sep 24, 2025
Add to calendar",9:00 am,,,133066-ID,https://www.auction.com/details/5947-w-alliance-st-rathdrum-id-1754617,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (858) 750-7600
,405 8th Ave N,"Bulh, ID 83316, Twin Falls County","Wednesday, Sep 24, 2025
Add to calendar",9:00 am,,,ID21852,https://www.auction.com/details/405-8th-ave-n-buhl-id-1754862,Auction.com,"Halliday, Watkins and Mann, P.C.",
,457 6th Ave East North,"Kalispell, MT 59901, Flathead County","Wednesday, Sep 24, 2025
Add to calendar",9:00 am,,,MT21410,https://www.auction.com/details/457-6th-avenue-east-n-kalispell-mt-1778010,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,3120 Highway 49 E,"Charlotte, TN 37036, Dickson County","Wednesday, Sep 24, 2025
Add to calendar",2:00 pm,,,2025-12796-TN,https://www.auction.com/details/3120-highway-49-e-charlotte-tn-1788677,Auction.com,"Nestor Solutions, LLC",Borrowers/homeowners should call (888) 403-4115
,102 Wellington Street,"Enterprise, AL 36330, Coffee - Enterprise County","Wednesday, Sep 24, 2025
Add to calendar",11:00 am,,,25-000477-1,https://www.auction.com/details/102-wellington-st-enterprise-al-1780402,Auction.com,Padgett Law Group,Borrowers/homeowners should call (850) 422-2520
,808 Emerson Dr NE,"Palm Bay, FL 32907, Brevard County","Wednesday, Sep 24, 2025
Add to calendar",11:00 am,,,05-2024-CA-01...,https://www.auction.com/details/808-emerson-dr-ne-palm-bay-fl-1576880,Auction.com,Van Ness Law Firm PLC,Borrowers/homeowners should call (954) 571-2031
,1009  Ridge View Rd,"Maryville, TN 37801, Blount County","Wednesday, Sep 24, 2025
Add to calendar",11:00 am,,,1154-3130A,https://www.auction.com/details/1009-ridge-view-rd-maryville-tn-1772220,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (877) 319-8840
,3211 Asbury Glimp Rd,"Ripley, TN 38063, Lauderdale County","Wednesday, Sep 24, 2025
Add to calendar",11:00 am,,,2025-14355-TN,https://www.auction.com/details/3211-asbury-glimp-rd-ripley-tn-1788978,Auction.com,"Nestor Solutions, LLC",Borrowers/homeowners should call (888) 403-4115
,150 S 50th Place,"Springfield, OR 97478, Lane County","Wednesday, Sep 24, 2025
Add to calendar",1:00 pm,,,24-00572OR,https://www.auction.com/details/150-s-50th-pl-springfield-or-1793361,Auction.com,"Affinia Default Services, LLC c/o McCalla Raymer Leibert Pierce",Borrowers/homeowners should call (425) 458-3378
,506 N Greeley Ave,"Johnstown, CO 80534, Weld County","Wednesday, Sep 17, 2025
Add to calendar",TBD,,,TS 10465664,https://www.auction.com/details/506-n-greeley-ave-johnstown-co-1756871,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,1910 Fay Street,"Burlington, CO 80807, Kit Carson County","Wednesday, Sep 17, 2025
Add to calendar",TBD,,,TS 10465813,https://www.auction.com/details/1910-fay-st-burlington-co-1759915,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,3945 S Fox St,"Englewood, CO 80110, Arapahoe County","Wednesday, Sep 17, 2025
Add to calendar",TBD,,,25-034796,https://www.auction.com/details/3945-s-fox-st-englewood-co-1760968,Auction.com,"Janeway Law Firm, PC",
,711 Mable St,"Bunkie, LA 71322, Avoyelles Parish County","Wednesday, Sep 17, 2025
Add to calendar",TBD,,,,https://www.auction.com/details/711-mable-st-bunkie-la-1779684,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",Borrowers/homeowners should call (225) 756-0373
,12491 Centerwood Rd SE,"Jefferson, OR 97352, Marion County","Wednesday, Sep 17, 2025
Add to calendar",9:00 am,,,134437-OR,https://www.auction.com/details/12491-centerwood-rd-se-jefferson-or-1750498,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (878) 750-7600
,1480 Winter St NE,"Salem, OR 97301, Marion County","Wednesday, Sep 17, 2025
Add to calendar",9:00 am,,,179410,https://www.auction.com/details/1480-winter-st-ne-salem-or-1785507,Auction.com,Prime Recon LLC,Borrowers/homeowners should call (888) 725-4142
,18483 Gaskins Road,"Onancock, VA 23417, Accomack County","Wednesday, Sep 17, 2025
Add to calendar",9:00 am,,,2024-00094-VA,https://www.auction.com/details/18483-gaskins-rd-onancock-va-1787366,Auction.com,Western Progressive,Borrowers/homeowners should call (866) 960-8299
,412 Fairview Avenue,"South Hill, VA 23970, Mecklenburg County","Wednesday, Sep 17, 2025
Add to calendar",9:00 am,,,2024-00364-VA,https://www.auction.com/details/412-fairview-ave-south-hill-va-1791352,Auction.com,Western Progressive,Borrowers/homeowners should call (866) 960-8299
,711 48th St S,"Great Falls, MT 59405, Cascade County","Wednesday, Sep 17, 2025
Add to calendar",2:00 pm,,,,https://www.auction.com/details/711-48th-st-s-great-falls-mt-1745157,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,1664 E. Highwood Road,"Belt, MT 59412, Cascade County","Wednesday, Sep 17, 2025
Add to calendar",2:00 pm,,,MT10429,https://www.auction.com/details/1664-e-highwood-rd-belt-mt-1747588,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,31 Springdale Garden Rd,"Newton, NJ 07860, Sussex County","Wednesday, Sep 17, 2025
Add to calendar",2:00 pm,,,XBSI003,https://www.auction.com/details/31-springdale-garden-rd-newton-nj-1787627,Auction.com,"Fein, Such, Kahn & Shepard, P.C.",Borrowers/homeowners should call (973) 538-4700
,2 Frederick Pl,"Sparta, NJ 07871, Sussex County","Wednesday, Sep 17, 2025
Add to calendar",2:00 pm,,,23-135315,https://www.auction.com/details/2-frederick-pl-sparta-nj-1790401,Auction.com,"RAS Citron, LLC - NJ",
,13 Heritage Crt,"Ewing, NJ 08628, Mercer County","Wednesday, Sep 17, 2025
Add to calendar",2:00 pm,,,24-31547-FC01,https://www.auction.com/details/13-heritage-ct-ewing-nj-1792191,Auction.com,Brock & Scott PLLC,Borrowers/homeowners should call (844) 856-6646
,401 West Pine,"Hot Springs, AR 71913, Garland County","Wednesday, Sep 17, 2025
Add to calendar",12:00 pm,,,25-005478-1,https://www.auction.com/details/401-westpine-dr-hot-springs-ar-1767785,Auction.com,Padgett Law Group,
,2042 N Highway 7 Aka 2040 N Highway 7,"Hot Springs, AR 71909, Garland County","Wednesday, Sep 17, 2025
Add to calendar",12:00 pm,,,AR-25-107440-...,https://www.auction.com/details/2042-n-highway-7-aka-2040-n-highway-7-hot-springs-ar-1776583,Auction.com,"McCarthy & Holthus, LLP",Borrowers/homeowners should call (214) 291-3800
,1014 10th St,"Pleasant Grove, AL 35127, Jefferson County","Wednesday, Sep 17, 2025
Add to calendar",11:00 am,,,25-04793-QQ-A...,https://www.auction.com/details/1014-10th-st-pleasant-grove-al-1794349,Auction.com,"Tiffany & Bosco, P.A.",Borrowers/homeowners should call (205) 930-5200
,110 McKinley Dr,"Columbia, TN 38401, Maury County","Wednesday, Sep 17, 2025
Add to calendar",11:00 am,,,1714-156A,https://www.auction.com/details/110-mckinley-dr-columbia-tn-1790397,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (877) 319-8840
,28464 Kingsbury Rd,"Lebanon, OR 97355, Linn County","Wednesday, Sep 17, 2025
Add to calendar",1:00 pm,,,OR08000129-24,https://www.auction.com/details/28464-kingsbury-rd-lebanon-or-1787618,Auction.com,Trustee Corps,Borrowers/homeowners should call (949) 252-8300
,316 11th Avenue,"Greeley, CO 80631, Weld County","Wednesday, Sep 10, 2025
Add to calendar",TBD,,,25-034535,https://www.auction.com/details/316-11th-ave-greeley-co-1752250,Auction.com,"Janeway Law Firm, PC",
,3828 W Sharpshinn Dr,"Coeur D`alene, ID 83815, Kootenai County","Wednesday, Sep 10, 2025
Add to calendar",9:00 am,,,ID22054,https://www.auction.com/details/3828-w-sharpshin-dr-coeur-d-alene-id-1738226,Auction.com,"Halliday, Watkins and Mann, P.C.",
,8886 N Mountainshire R,"Post Falls, ID 83854, Kootenai County","Wednesday, Sep 10, 2025
Add to calendar",9:00 am,,,ID22085,https://www.auction.com/details/8886-n-mountainshire-rd-post-falls-id-1741408,Auction.com,"Halliday, Watkins and Mann, P.C.",
,175 Quail Ct,"Winston, OR 97496, Douglas County","Wednesday, Sep 10, 2025
Add to calendar",9:00 am,,,115035-OR,https://www.auction.com/details/175-quail-ct-winston-or-1754399,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (878) 750-7600
,170 Windsor Way,"Hillside, NJ 07205, Union County","Wednesday, Sep 10, 2025
Add to calendar",2:00 pm,,,NJ2017OCW0009...,https://www.auction.com/details/170-windsor-way-hillside-nj-1790874,Auction.com,"Stern and Eisenberg, PC",Borrowers/homeowners should call (609) 397-9200
,634 Lawson Rd,"Crossville, TN 38571, Cumberland County","Wednesday, Sep 10, 2025
Add to calendar",2:00 pm,,,24-261239,https://www.auction.com/details/634-lawson-rd-crossville-tn-1789668,Auction.com,"RAS, Crane & Partners, PLLC",Borrowers/homeowners should call (423) 498-7400
,84 County Road 690,"Chancellor, AL 36316, Coffee County","Wednesday, Sep 10, 2025
Add to calendar",11:00 am,,,25-03691-CE-A...,https://www.auction.com/details/84-county-road-690-chancellor-al-1789305,Auction.com,"Tiffany & Bosco, P.A.",Borrowers/homeowners should call (205) 930-5200
,2620 15th St N,"Bessemer, AL 35023, Jefferson County","Wednesday, Sep 10, 2025
Add to calendar",11:00 am,,,24-06597AL,https://www.auction.com/details/2620-15th-st-n-bessemer-al-1789431,Auction.com,"McCalla Raymer Leibert Pierce, LLC",Borrowers/homeowners should call (770) 643-7200
,9531 Highway 222,"Malvern, AR 72104, Hot Spring County","Wednesday, Sep 10, 2025
Add to calendar",10:00 am,,,24-000048-514,https://www.auction.com/details/9531-highway-222-malvern-ar-1773070,Auction.com,"Mackie Wolf Zientz and Mann, P. C.",Borrowers/homeowners should call (501) 218-8111
,411 Ruby Dr,"Fort Collins, CO 80525, Larimer County","Wednesday, Sep 10, 2025
Add to calendar",10:00 am,,,25-034351,https://www.auction.com/details/411-ruby-dr-fort-collins-co-1752101,Auction.com,"Janeway Law Firm, PC",
,2405 West 48th Avenue,"Pine Bluff, AR 71603, Jefferson County","Wednesday, Sep 10, 2025
Add to calendar",1:00 pm,,,22-002151-2,https://www.auction.com/details/2405-w-48th-ave-pine-bluff-ar-1779133,Auction.com,Padgett Law Group,
,48143 Commercial Street,"Oakridge, OR 97463, Lane County","Wednesday, Sep 10, 2025
Add to calendar",1:00 pm,,,23-00335OR,https://www.auction.com/details/48143-commercial-st-oakridge-or-1743570,Auction.com,"Affinia Default Services, LLC c/o McCalla Raymer Leibert Pierce",Borrowers/homeowners should call (425) 458-3378
