Address,Address2,County,Date,Case,URL,Source,Atty,Atty_Contact
503 1ST AVE SW,"Pocahontas,  IA  50574",Pocahontas,Aug 06 2025 at 10:00 AM local,250013,https://www.hubzu.com/property/90117321030-503-1ST-AVE-SW-Pocahontas-IA-50574,Hubzu.com,"SouthLaw, P.C.",800-381-1536
10302 GOOSE WAY,"San Antonio,  TX  78224",BEXAR,Aug 05 2025 at 1:00 PM local,25-000500-673,https://www.hubzu.com/property/91717304358-10302-GOOSE-WAY-San-Antonio-TX-78224,Hubzu.com,"Power Default Services, Inc.",866-960-8299
120 S PARK AVE,"Rensselaer,  IN  47978",Jasper,Aug 06 2025 at 10:00 AM local,120  S PARK AVENUE,https://www.hubzu.com/property/90117321014-120-S-PARK-AVE-Rensselaer-IN-47978,Hubzu.com,"Codilis Law, LLC",219-736-5579
112 BASSWOOD DR,"Red Oak,  TX  75154",ELLIS,Aug 05 2025 at 1:00 PM local,25-000510-673,https://www.hubzu.com/property/91716881708-112-BASSWOOD-DR-Red-Oak-TX-75154,Hubzu.com,"Power Default Services, Inc.",866-960-8299
109 VILLA RD,"Ridgeway,  VA  24148",Henry,Aug 05 2025 at 1:00 PM local,109 VILLA RD,https://www.hubzu.com/property/91717264179-109-VILLA-RD-Ridgeway-VA-24148,Hubzu.com,"Western Progressive - Virginia, Inc.",866-960-8299
1936 BANNACK DR,"Billings,  MT  59105",Yellowstone,Aug 06 2025 at 11:00 AM local,MT11557,https://www.hubzu.com/property/91716635397-1936-BANNACK-DR-Billings-MT-59105,Hubzu.com,Halliday Watkins & Mann PC,801-355-2886
88 E 6TH AVE,"Pine Hill,  NJ  08021",Camden,Aug 06 2025 at 12:00 PM local,F-007546-24,https://www.hubzu.com/property/91716983797-88-E-6TH-AVE-Pine-Hill-NJ-08021,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",973-575-0707
72 OVERLOOK DR,"Seale,  AL  36875",Russell,Aug 06 2025 at 11:00 AM local,72 OVERLOOK DR,https://www.hubzu.com/property/91717244520-72-OVERLOOK-DR-Seale-AL-36875,Hubzu.com,Halliday Watkins & Mann PC,801-355-2886
155 BOBWHITE RD,"Lonoke,  AR  72086",Lonoke,Aug 06 2025 at 11:00 AM local,24-000091-671-1,https://www.hubzu.com/property/91716940099-155-BOBWHITE-RD-Lonoke-AR-72086,Hubzu.com,"Mackie Wolf Zientz & Mann, P.C.",501-218-8111
7 BIRCH RD,"Byram Township,  NJ  07821",Sussex,Aug 06 2025 at 2:00 PM local,F009917-24,https://www.hubzu.com/property/91717025960-7-BIRCH-RD-Byram-Township-NJ-07821,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",973-575-0707
420 S PARK LANE,"Le Sueur,  MN  56058",Le Sueur,Aug 06 2025 at 1:00 PM local,85-24-005693FC,https://www.hubzu.com/property/87916652587-420-S-PARK-LANE-Le-Sueur-MN-56058,Hubzu.com,"Liebo, Weingarden, Dobie & Barbee, PLLP",952-925-6888
209 JOYCE KILMER AVE,"New Brunswick,  NJ  08901",Middlesex,Aug 06 2025 at 1:30 PM local,F-005823-24,https://www.hubzu.com/property/91716978926-209-JOYCE-KILMER-AVE-New-Brunswick-NJ-08901,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",973-575-0707
901 SUNSET DR,"Somerdale,  NJ  08083",Camden,Aug 06 2025 at 12:00 PM local,F-005679-24,https://www.hubzu.com/property/91716945091-901-SUNSET-DR-Somerdale-NJ-08083,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",973-575-0707
405 E BERRY ST,"Greencastle,  IN  46135",Putnam,Aug 06 2025 at 1:00 PM local,H338-3,https://www.hubzu.com/property/90117321016-405-E-BERRY-ST-Greencastle-IN-46135,Hubzu.com,"Doyle & Foutty, P.C.",317-264-5000
191 N SULPHUR SPRINGS RD,"New Castle,  IN  47362",Henry,Aug 07 2025 at 10:00 AM local,H338-18,https://www.hubzu.com/property/90117321017-191-N-SULPHUR-SPRINGS-RD-New-Castle-IN-47362,Hubzu.com,"Doyle & Foutty, P.C.",317-264-5000
100 WETHERBURN LN,"Williamsburg,  VA  23188",James City,Aug 07 2025 at 3:45 PM local,20-286851,https://www.hubzu.com/property/87916976018-100-WETHERBURN-LN-Williamsburg-VA-23188,Hubzu.com,LOGS Legal Group LLP,703-449-5800
15 PERRY AVE,"Portland,  CT  06480",Middlesex,Aug 09 2025 at 12:00 PM local,15 PERRY AVE,https://www.hubzu.com/property/87917091379-15-PERRY-AVE-Portland-CT-06480,Hubzu.com,Barton Gilman LLP,203-874-6773
133 REDBUD DR,"Louisa,  VA  23093",Louisa,Aug 08 2025 at 10:00 AM local,22-290156,https://www.hubzu.com/property/87917284524-133-REDBUD-DR-Louisa-VA-23093,Hubzu.com,LOGS Legal Group LLP,703-449-5800
512 S JEFFERSON ST,"Knightstown,  IN  46148",Henry,Aug 07 2025 at 10:00 AM local,G338-393,https://www.hubzu.com/property/90117321018-512-S-JEFFERSON-ST-Knightstown-IN-46148,Hubzu.com,"Doyle & Foutty, P.C.",317-264-5000
136 TIFFANY LN,"Willingboro,  NJ  08046",Burlington,Aug 07 2025 at 12:00 PM local,F-001963-24,https://www.hubzu.com/property/91716897780-136-TIFFANY-LN-Willingboro-NJ-08046,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",973-575-0707
58 CANDIDE LN,"Storrs,  CT  06268",Tolland,Aug 09 2025 at 12:00 PM local,58 CANDIDE LN,https://www.hubzu.com/property/91716724601-58-CANDIDE-LN-Storrs-CT-06268,Hubzu.com,Brock & Scott PLLC,844-856-6646
15 DOURLAND RD,"Medford,  NY  11763",Suffolk,Aug 05 2025 at 10:00 AM local,15 DOURLAND RD,https://www.hubzu.com/property/93517304609-15-DOURLAND-RD-Medford-NY-11763,Hubzu.com,Vallely Law PLLC,516-386-3900
9105 ANTELOPE AVE,"Odessa,  TX  79765",ECTOR,Aug 05 2025 at 10:00 AM local,25-000530-673,https://www.hubzu.com/property/91717304938-9105-ANTELOPE-AVE-Odessa-TX-79765,Hubzu.com,"Power Default Services, Inc.",866-960-8299
980 PATTERSON ST,"Houston,  TX  77007",HARRIS,Aug 05 2025 at 10:00 AM local,24TX577-0129,https://www.hubzu.com/property/87917107263-980-PATTERSON-ST-Houston-TX-77007,Hubzu.com,Miller George & Suggs PLLC,972-532-0128
2202 ALABAMA ST,"Big Spring,  TX  79720",Howard,Aug 05 2025 at 10:00 AM local,25-00524-673,https://www.hubzu.com/property/91717304690-2202-ALABAMA-ST-Big-Spring-TX-79720,Hubzu.com,"Power Default Services, Inc.",866-960-8299
3208 CORPUS AVE,"Wolfforth,  TX  79382",Lubbock,Aug 05 2025 at 10:00 AM local,25-000482-673,https://www.hubzu.com/property/91717244347-3208-CORPUS-AVE-Wolfforth-TX-79382,Hubzu.com,"Power Default Services, Inc.",866-960-8299
1533 SETTLERS GLEN DR,"Round Rock,  TX  78665",Williamson,Aug 05 2025 at 10:00 AM local,25-000529-673,https://www.hubzu.com/property/91717304688-1533-SETTLERS-GLEN-DR-Round-Rock-TX-78665,Hubzu.com,"Power Default Services, Inc.",866-960-8299
612 N TEAK AVE,"Lubbock,  TX  79403",Lubbock,Aug 05 2025 at 10:00 AM local,25-000227-673,https://www.hubzu.com/property/91717232080-612-N-TEAK-AVE-Lubbock-TX-79403,Hubzu.com,"Power Default Services, Inc.",866-960-8299
2440 E VIEW POINT RD,"Fort Mohave,  AZ  86426",Mohave,Aug 05 2025 at 10:30 AM local,2023-00150-AZ,https://www.hubzu.com/property/91716798679-2440-E-VIEW-POINT-RD-Fort-Mohave-AZ-86426,Hubzu.com,"Western Progressive - Arizona, Inc.",866-960-8299
725 SADDLE CANYON,"Cibolo,  TX  78108",Guadalupe,Aug 05 2025 at 11:00 AM local,25-000503-673,https://www.hubzu.com/property/91717304357-725-SADDLE-CANYON-Cibolo-TX-78108,Hubzu.com,"Power Default Services, Inc.",866-960-8299
940 VERANDA WAY,"Florence,  SC  29501",Florence,Aug 05 2025 at 11:00 AM local,2025-CP-21-00581,https://www.hubzu.com/property/90117301653-940-VERANDA-WAY-Florence-SC-29501,Hubzu.com,Brock & Scott PLLC,844-856-6646
