Date,URL,Source,Case,Judgment,Parcel,Address,Address2,Value,Atty,Atty_Contact
"Auction Starts
07/11/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,CV2024115023 (9368),,6841994,34 CLINTON AVENUE,"AKRON , 44301","$105,000.00 ",,
"Auction Starts
08/08/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/08/2025,Realforeclose.com,CV2024125342 (9467),,6711237,53 IDO AVENUE,"AKRON , 44301","$81,000.00 ",,
"Auction Starts
07/18/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/18/2025,Realforeclose.com,CV2024083662 (9400),,MULTIPLE,825 DANMEAD AVENUE,"AKRON , 44305","$162,000.00 ",,
"Auction Starts
07/18/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/18/2025,Realforeclose.com,CV2025010427 (9396),,6810993,1844 JAVA AVENUE,"AKRON , 44305","$81,000.00 ",,
"Auction Starts
08/08/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/08/2025,Realforeclose.com,CV2024020561 (9466),,6801948,1465 LAFFER AVENUE,"AKRON , 44305","$54,000.00 ",,
"Auction Starts
07/18/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/18/2025,Realforeclose.com,CV2024020945 (9402),,6711354,741 COLUMBUS AVENUE,"AKRON , 44306","$39,000.00 ",,
"Auction Starts
07/11/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,CV2024093824 (9376),,6836521,1161 DIAGONAL ROAD,"AKRON , 44307","$63,000.00 ",,
"Auction Starts
07/18/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/18/2025,Realforeclose.com,CV2024104797 (9394),,6719610,416 DAYTON STREET,"AKRON , 44310","$48,000.00 ",,
"Auction Starts
08/08/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/08/2025,Realforeclose.com,CV2023124697E (9472),,6835447,835 BERWIN AVENUE,"AKRON , 44310","$63,000.00 ",,
"Auction Starts
08/08/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/08/2025,Realforeclose.com,CV2024125569 (9474),,6713190,1270 SAWYER AVENUE,"AKRON , 44310","$93,000.00 ",,
"Auction Starts
08/08/2025 10:00 AM ET",https://summit.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/08/2025,Realforeclose.com,CV2025020713 (9470),,6828022,1133 MT VERNON AVENUE,"AKRON , 44310","$84,000.00 ",,
