Address,Address2,Date,Case,URL,Source,Atty,Atty_Contact,Text,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8,Text9
124 Lowndes Lake Rd,Varnville SC 29944,"July 07, 10:00 AM",,https://www.xome.com/auctions/124-Lowndes-Lake-Rd-Varnville-SC-29944-407652203,Xome.com,Rogers Townsend LLC,803-771-7900,"Property Type:
                      
                            Single Family","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1950","Municipality
                            County:
                      
                            HAMPTON","Property #:
                      
                            P114SCX","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1321 (approx)","Lot Size:
                      
                            2 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent.","Foreclosure ID:
                      
                            172323"
3445 Hickory Hill Rd,Varnville SC 29944,"July 07, 10:00 AM",,https://www.xome.com/auctions/3445-Hickory-Hill-Rd-Varnville-SC-29944-407648519,Xome.com,Rogers Townsend LLC,803-771-7900,"Property Type:
                      
                            Single Family","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1553 (approx)","Municipality
                            County:
                      
                            HAMPTON","Property #:
                      
                            P114SBD","Bathrooms:
                      
                            1 Full","Interior Access:
                      
                            No Interior Access","Lot Size:
                      
                            1.54 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent.","Foreclosure ID:
                      
                            176107"
1597 Kimball Dr,Madison OH 44057,"July 07, 10:00 AM
                                
                                          - July 07, 02:00 PM",,https://www.xome.com/auctions/1597-Kimball-Dr-Madison-OH-44057-407582173,Xome.com,Reimer Law Co.,440-600-5500,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full/1 Half","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            2007","Municipality
                            County:
                      
                            LAKE","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            2057 (approx)","Lot Size:
                      
                            0.4 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
103 Greybridge Rd,Pelzer SC 29669,"July 07, 10:00 AM",,https://www.xome.com/auctions/103-Greybridge-Rd-Pelzer-SC-29669-407367628,Xome.com,"Scott and Corley, P.A.",803-252-3340,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1988","Municipality
                            County:
                      
                            GREENVILLE","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            2215 (approx)","Lot Size:
                      
                            0.88 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
1225 W Main Street,Dillon SC 29536,"July 07, 10:00 AM",,https://www.xome.com/auctions/1225-W-Main-Street-Dillon-SC-29536-407363328,Xome.com,"Brock and Scott, PLLC",,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1967","Municipality
                            County:
                      
                            DILLON","Bedrooms:
                      
                            4","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1797 (approx)","Lot Size:
                      
                            2 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
4319 W Tidwell St,Kearns UT 84118,"July 07, 01:00 PM",,https://www.xome.com/auctions/4319-W-Tidwell-St-Kearns-UT-84118-407295484,Xome.com,"Halliday, Watkins & Mann, P.C.",801-355-2886,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            1 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1978","Municipality
                            County:
                      
                            SALT LAKE","Bedrooms:
                      
                            2","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            985 (approx)","Lot Size:
                      
                            0.2 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
1250 N Buccaneer Drive,Salt Lake City UT 84116,"July 07, 01:00 PM",,https://www.xome.com/auctions/1250-N-Buccaneer-Drive-Salt-Lake-City-UT-84116-407254611,Xome.com,"Halliday, Watkins & Mann, P.C.",801-355-2886,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            1955","Municipality
                            County:
                      
                            SALT LAKE","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1175 (approx)","Lot Size:
                      
                            0.18 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
1922 Harcourt Cir 103,Fayetteville NC 28304,"July 07, 12:00 PM",,https://www.xome.com/auctions/1922-Harcourt-Cir-103-Fayetteville-NC-28304-407129898,Xome.com,Hutchens Law Firm,"4317 Ramsey Street, Fayetteville, NC 28311","Property Type:
                      
                            Condo","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            2006","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent.","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1445 (approx)","Municipality
                            County:
                      
                            CUMBERLAND","Property #:
                      
                            P114RT3"
104 Graceland Ct,Swansea SC 29160,"July 07, 10:00 AM",,https://www.xome.com/auctions/104-Graceland-Ct-Swansea-SC-29160-407065711,Xome.com,"Bell Carrington Price & Gregg, LLC",803-509-5078,"Property Type:
                      
                            Single Family","Bathrooms:
                      
                            2 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            2016","Stories:
                      
                            1","Bedrooms:
                      
                            3","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            1293 (approx)","Lot Size:
                      
                            0.56 Acres","Municipality
                            County:
                      
                            LEXINGTON"
15387 Patton Street,Victorville CA 92394,"July 07, 01:00 PM",,https://www.xome.com/auctions/15387-Patton-Street-Victorville-CA-92394-407064927,Xome.com,"Nestor Solutions, LLC","214 5th St, Suite 205, Huntington Beach, CA 92648","Property Type:
                      
                            Single Family","Bathrooms:
                      
                            3 Full","Interior Access:
                      
                            No Interior Access","Year Built:
                      
                            2022","Municipality
                            County:
                      
                            SAN BERNARDINO","Bedrooms:
                      
                            4","Occupancy Status:
                      
                            Occupied","Square Feet:
                      
                            2226 (approx)","Lot Size:
                      
                            0.17 Acres","Title:
                      
                            Unassigned 
                            
                            
                            
                                
                                Deed type contingent upon title policy purchased at buyer's expense without causing any delays to closing, and any state, local, or title conditions which may require conveyance via Quit Claim Deed or equivalent."
