Value,Address,Address2,Date,Time,Date2,Time2,Case,Original_URL,Source,Atty,Atty_Contact,Address3,City,StateZip,State,Postal,County,Extra2
,2774 East 118th Circle,"Thornton, CO 80233, Adams County",2025-07-30,,,,TS 10377828,https://www.auction.com/details/2774-e-118th-cir-thornton-co-1783654,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714,"Thornton, CO 80233, Adams County",Thornton,CO 80233,CO,80233, Adams County,
,18915 County Road 24,"Sterling, CO 80751, Logan County",2025-07-30,,,,TS 10413359,https://www.auction.com/details/18915-county-road-24-sterling-co-1716529,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714,"Sterling, CO 80751, Logan County",Sterling,CO 80751,CO,80751, Logan County,
,1642 Galena Street,"Aurora, CO 80010, Adams County",2025-07-30,,,,TS 7643778,https://www.auction.com/details/1642-galena-st-aurora-co-1779721,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714,"Aurora, CO 80010, Adams County",Aurora,CO 80010,CO,80010, Adams County,
,6010 62nd Ct E,"Palmetto, FL 34221, Manatee County",2025-07-30,,,,412024CA00115...,https://www.auction.com/details/6010-62nd-ct-e-palmetto-fl-1716102,Auction.com,Van Ness Law Firm PLC,(954) 571-2031,"Palmetto, FL 34221, Manatee County",Palmetto,FL 34221,FL,34221, Manatee County,
,2152 148 Ave,"Miramar, FL 33027, Broward County",2025-07-30,,,,514021095800,https://www.auction.com/details/2152-sw-148th-ave-miramar-fl-1788507,Auction.com,Aldridge Pite LLP,(877) 319-8840,"Miramar, FL 33027, Broward County",Miramar,FL 33027,FL,33027, Broward County,
,923 S 14th St,"Springfield, IL 62703, Sangamon County",2025-07-30,,,,,https://www.auction.com/details/923-s-14th-st-springfield-il-1760002,Auction.com,"RAS Crane, LLC",(561) 241-6901,"Springfield, IL 62703, Sangamon County",Springfield,IL 62703,IL,62703, Sangamon County,
,1301 S. Oak Street,"Bloomington, IL 61701, McLean County",2025-07-30,,,,2023FC000068,https://www.auction.com/details/1301-s-oak-st-bloomington-il-1762009,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960,"Bloomington, IL 61701, McLean County",Bloomington,IL 61701,IL,61701, McLean County,
,1740 Balcom Rd,"Anna, IL 62906, Union County",2025-07-30,,,,14-23-03554,https://www.auction.com/details/1740-balcom-rd-anna-il-1764135,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300,"Anna, IL 62906, Union County",Anna,IL 62906,IL,62906, Union County,
,1130 E Croswell St,"Kankakee, IL 60901, Kankakee County",2025-07-30,,,,14-24-06623,https://www.auction.com/details/1130-e-croswell-st-kankakee-il-1731976,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300,"Kankakee, IL 60901, Kankakee County",Kankakee,IL 60901,IL,60901, Kankakee County,
,1333 1st Street,"Cottage Hills, IL 62018, Madison County",2025-07-30,,,,24 FC 000175,https://www.auction.com/details/1333-1st-st-cottage-hills-il-1743961,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088,"Cottage Hills, IL 62018, Madison County",Cottage Hills,IL 62018,IL,62018, Madison County,
,1104 19 1/2 Ave,"Rock Island, IL 61201, Rock Island County",2025-07-30,,,,14-24-05950,https://www.auction.com/details/1104-19-1%2F2-ave-rock-island-il-1752946,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300,"Rock Island, IL 61201, Rock Island County",Rock Island,IL 61201,IL,61201, Rock Island County,
,1945 185th St,"Lansing, IL 60438, Cook County",2025-07-30,,,,2012673,https://www.auction.com/details/1945-185th-st-lansing-il-1763882,Auction.com,"Heavner, Beyers & Mihlar, LLC",(217) 422-1719,"Lansing, IL 60438, Cook County",Lansing,IL 60438,IL,60438, Cook County,
,4609 Fishermans Ter,"Lyons, IL 60534, Cook County",2025-07-30,,,,,https://www.auction.com/details/4609-fishermans-ter-lyons-il-1748858,Auction.com,"Noonan & Lieberman, Ltd.",(312) 605-3500,"Lyons, IL 60534, Cook County",Lyons,IL 60534,IL,60534, Cook County,
,1595 North Church Street,"Decatur, IL 62526, Macon County",2025-07-30,,,,IL-005178-24-...,https://www.auction.com/details/1595-n-church-st-decatur-il-1778451,Auction.com,"Quintairos, Prieto, Wood and Boyer, P.A.",,"Decatur, IL 62526, Macon County",Decatur,IL 62526,IL,62526, Macon County,
,400 Stonehill Ave,"Valparaiso, IN 46385, Porter County",2025-07-30,,,,,https://www.auction.com/details/400-stonehill-dr-valparaiso-in-1778801,Auction.com,Manley Deas Kochalski LLC.,,"Valparaiso, IN 46385, Porter County",Valparaiso,IN 46385,IN,46385, Porter County,
,1401 Eastland Avenue,"Ruston, LA 71270, Lincoln County",2025-07-30,,,,24-032861-FC0...,https://www.auction.com/details/1401-eastland-ave-ruston-la-1784342,Auction.com,"Shapiro and Daigrepont, L.L.C.",,"Ruston, LA 71270, Lincoln County",Ruston,LA 71270,LA,71270, Lincoln County,
,4802 Eraste Hebert Rd,"New Iberia, LA 70560, Iberia Parish County",2025-07-30,,,,,https://www.auction.com/details/4802-eraste-hebert-rd-new-iberia-la-1757047,Auction.com,"Shapiro and Daigrepont, L.L.C.",,"New Iberia, LA 70560, Iberia Parish County",New Iberia,LA 70560,LA,70560, Iberia Parish County,
,9787 Ave J,"Baton Rouge, LA 70807, East Baton Rouge Parish County",2025-07-30,,,,,https://www.auction.com/details/9787-avenue-j-baton-rouge-la-1772158,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Baton Rouge, LA 70807, East Baton Rouge Parish County",Baton Rouge,LA 70807,LA,70807, East Baton Rouge Parish County,
,3141 E Thrush Dr,"Post Falls, ID 83854, Kootenai County",2025-07-30,9:00 am,,,ID21903,https://www.auction.com/details/3141-e-thrush-dr-post-falls-id-1710926,Auction.com,"Halliday, Watkins and Mann, P.C.",,"Post Falls, ID 83854, Kootenai County",Post Falls,ID 83854,ID,83854, Kootenai County,
,181 Villa Dr,"Heyburn, ID 83336, Cassia County",2025-07-30,9:00 am,,,,https://www.auction.com/details/181-villa-dr-heyburn-id-1714386,Auction.com,"Halliday, Watkins and Mann, P.C.",,"Heyburn, ID 83336, Cassia County",Heyburn,ID 83336,ID,83336, Cassia County,
,803 Jackson St,"Montpelier, ID 83254, Bear Lake County",2025-07-30,9:00 am,,,,https://www.auction.com/details/803-jackson-st-montpelier-id-1787082,Auction.com,"McCarthy & Holthus, LLP",,"Montpelier, ID 83254, Bear Lake County",Montpelier,ID 83254,ID,83254, Bear Lake County,
,200 Berthel Avenue,"Canyonville, OR 97417, Douglas County",2025-07-30,9:00 am,,,OR09000035-24,https://www.auction.com/details/200-berthel-ave-canyonville-or-1781810,Auction.com,Trustee Corps,(949) 252-8300,"Canyonville, OR 97417, Douglas County",Canyonville,OR 97417,OR,97417, Douglas County,
,1 Columbia Road,"Billerica, MA 01821, Middlesex County",2025-07-30,2:00 pm,,,24-000926,https://www.auction.com/details/1-columbia-rd-billerica-ma-1783180,Auction.com,Orlans PC,(781) 790-7800,"Billerica, MA 01821, Middlesex County",Billerica,MA 01821,MA,01821, Middlesex County,
,145 Kelli Ln,"Tazewell, TN 37879, Claiborne County",2025-07-30,2:00 pm,,,24-25345-FC01,https://www.auction.com/details/145-kelli-ln-tazewell-tn-1725699,Auction.com,Brock and Scott PLLC,(615) 550-7697,"Tazewell, TN 37879, Claiborne County",Tazewell,TN 37879,TN,37879, Claiborne County,
,611 Luther Rd,"Dickson, TN 37055, Dickson County",2025-07-30,2:00 pm,,,24-06662,https://www.auction.com/details/611-luther-rd-dickson-tn-1756889,Auction.com,"Marinosci Law Group, P.C.",,"Dickson, TN 37055, Dickson County",Dickson,TN 37055,TN,37055, Dickson County,
,634 Lawson Rd,"Crossville, TN 38571, Cumberland County",2025-07-30,2:00 pm,,,24-261239,https://www.auction.com/details/634-lawson-rd-crossville-tn-1766098,Auction.com,"RAS, Crane & Partners, PLLC",(423) 498-7400,"Crossville, TN 38571, Cumberland County",Crossville,TN 38571,TN,38571, Cumberland County,
,8714 W. 123rd St.,"Palos Park, IL 60464, Cook County",2025-07-30,12:00 pm,,,2023CH07111,https://www.auction.com/details/8714-w-123-st-palos-park-il-1740082,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960,"Palos Park, IL 60464, Cook County",Palos Park,IL 60464,IL,60464, Cook County,
