Address,City,State,Postal,County,Date,Time,Case,URL,Source,Atty,Atty_Contact
2774 East 118th Circle,Thornton,CO,80233, Adams County,2025-07-30,,TS 10377828,https://www.auction.com/details/2774-e-118th-cir-thornton-co-1783654,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
18915 County Road 24,Sterling,CO,80751, Logan County,2025-07-30,,TS 10413359,https://www.auction.com/details/18915-county-road-24-sterling-co-1716529,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
1642 Galena Street,Aurora,CO,80010, Adams County,2025-07-30,,TS 7643778,https://www.auction.com/details/1642-galena-st-aurora-co-1779721,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
6010 62nd Ct E,Palmetto,FL,34221, Manatee County,2025-07-30,,412024CA00115...,https://www.auction.com/details/6010-62nd-ct-e-palmetto-fl-1716102,Auction.com,Van Ness Law Firm PLC,(954) 571-2031
2152 148 Ave,Miramar,FL,33027, Broward County,2025-07-30,,5.14021E+11,https://www.auction.com/details/2152-sw-148th-ave-miramar-fl-1788507,Auction.com,Aldridge Pite LLP,(877) 319-8840
923 S 14th St,Springfield,IL,62703, Sangamon County,2025-07-30,,,https://www.auction.com/details/923-s-14th-st-springfield-il-1760002,Auction.com,"RAS Crane, LLC",(561) 241-6901
1301 S. Oak Street,Bloomington,IL,61701, McLean County,2025-07-30,,2023FC000068,https://www.auction.com/details/1301-s-oak-st-bloomington-il-1762009,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960
1740 Balcom Rd,Anna,IL,62906, Union County,2025-07-30,,14-23-03554,https://www.auction.com/details/1740-balcom-rd-anna-il-1764135,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300
1130 E Croswell St,Kankakee,IL,60901, Kankakee County,2025-07-30,,14-24-06623,https://www.auction.com/details/1130-e-croswell-st-kankakee-il-1731976,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300
1333 1st Street,Cottage Hills,IL,62018, Madison County,2025-07-30,,24 FC 000175,https://www.auction.com/details/1333-1st-st-cottage-hills-il-1743961,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088
1104 19 1/2 Ave,Rock Island,IL,61201, Rock Island County,2025-07-30,,14-24-05950,https://www.auction.com/details/1104-19-1%2F2-ave-rock-island-il-1752946,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300
1945 185th St,Lansing,IL,60438, Cook County,2025-07-30,,2012673,https://www.auction.com/details/1945-185th-st-lansing-il-1763882,Auction.com,"Heavner, Beyers & Mihlar, LLC",(217) 422-1719
4609 Fishermans Ter,Lyons,IL,60534, Cook County,2025-07-30,,,https://www.auction.com/details/4609-fishermans-ter-lyons-il-1748858,Auction.com,"Noonan & Lieberman, Ltd.",(312) 605-3500
1595 North Church Street,Decatur,IL,62526, Macon County,2025-07-30,,IL-005178-24-...,https://www.auction.com/details/1595-n-church-st-decatur-il-1778451,Auction.com,"Quintairos, Prieto, Wood and Boyer, P.A.",
400 Stonehill Ave,Valparaiso,IN,46385, Porter County,2025-07-30,,,https://www.auction.com/details/400-stonehill-dr-valparaiso-in-1778801,Auction.com,Manley Deas Kochalski LLC.,
1401 Eastland Avenue,Ruston,LA,71270, Lincoln County,2025-07-30,,24-032861-FC0...,https://www.auction.com/details/1401-eastland-ave-ruston-la-1784342,Auction.com,"Shapiro and Daigrepont, L.L.C.",
4802 Eraste Hebert Rd,New Iberia,LA,70560, Iberia Parish County,2025-07-30,,,https://www.auction.com/details/4802-eraste-hebert-rd-new-iberia-la-1757047,Auction.com,"Shapiro and Daigrepont, L.L.C.",
9787 Ave J,Baton Rouge,LA,70807, East Baton Rouge Parish County,2025-07-30,,,https://www.auction.com/details/9787-avenue-j-baton-rouge-la-1772158,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373
3141 E Thrush Dr,Post Falls,ID,83854, Kootenai County,2025-07-30,9:00 AM,ID21903,https://www.auction.com/details/3141-e-thrush-dr-post-falls-id-1710926,Auction.com,"Halliday, Watkins and Mann, P.C.",
181 Villa Dr,Heyburn,ID,83336, Cassia County,2025-07-30,9:00 AM,,https://www.auction.com/details/181-villa-dr-heyburn-id-1714386,Auction.com,"Halliday, Watkins and Mann, P.C.",
803 Jackson St,Montpelier,ID,83254, Bear Lake County,2025-07-30,9:00 AM,,https://www.auction.com/details/803-jackson-st-montpelier-id-1787082,Auction.com,"McCarthy & Holthus, LLP",
200 Berthel Avenue,Canyonville,OR,97417, Douglas County,2025-07-30,9:00 AM,OR09000035-24,https://www.auction.com/details/200-berthel-ave-canyonville-or-1781810,Auction.com,Trustee Corps,(949) 252-8300
1 Columbia Road,Billerica,MA,01821, Middlesex County,2025-07-30,2:00 PM,24-000926,https://www.auction.com/details/1-columbia-rd-billerica-ma-1783180,Auction.com,Orlans PC,(781) 790-7800
145 Kelli Ln,Tazewell,TN,37879, Claiborne County,2025-07-30,2:00 PM,24-25345-FC01,https://www.auction.com/details/145-kelli-ln-tazewell-tn-1725699,Auction.com,Brock and Scott PLLC,(615) 550-7697
611 Luther Rd,Dickson,TN,37055, Dickson County,2025-07-30,2:00 PM,24-06662,https://www.auction.com/details/611-luther-rd-dickson-tn-1756889,Auction.com,"Marinosci Law Group, P.C.",
634 Lawson Rd,Crossville,TN,38571, Cumberland County,2025-07-30,2:00 PM,24-261239,https://www.auction.com/details/634-lawson-rd-crossville-tn-1766098,Auction.com,"RAS, Crane & Partners, PLLC",(423) 498-7400
8714 W. 123rd St.,Palos Park,IL,60464, Cook County,2025-07-30,12:00 PM,2023CH07111,https://www.auction.com/details/8714-w-123-st-palos-park-il-1740082,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960
208 S 17th Ave,Maywood,IL,60153, Cook County,2025-07-30,12:00 PM,2024CH07210,https://www.auction.com/details/208-s-17th-ave-maywood-il-1741467,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300
4257 Southwest Highway,Hometown,IL,60456, Cook County,2025-07-30,12:00 PM,24 CH 07225,https://www.auction.com/details/4257-southwest-hwy-hometown-il-1743665,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088
205 Longford Drive,Elgin,IL,60120, Cook County,2025-07-30,12:00 PM,2024CH10433,https://www.auction.com/details/205-longford-dr-elgin-il-1743672,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088
953 Dartmouth Ave,Matteson,IL,60443, Cook County,2025-07-30,12:00 PM,24 CH 3803,https://www.auction.com/details/953-dartmouth-ave-matteson-il-1744168,Auction.com,LOGS Legal Group LLP,(847) 291-1717
8934 S Euclid,Chicago,IL,60617, Cook County,2025-07-30,12:00 PM,2024CH09585,https://www.auction.com/details/8934-s-euclid-ave-chicago-il-1745372,Auction.com,KLUEVER LAW GROUP,(312) 236-0077
11433 S Racine Ave,Chicago,IL,60643, Cook County,2025-07-30,12:00 PM,2022CH07728,https://www.auction.com/details/11433-s-racine-ave-chicago-il-1747056,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960
5027 S Racine Ave,Chicago,IL,60609, Cook County,2025-07-30,12:00 PM,2024CH05620,https://www.auction.com/details/5027-s-racine-ave-chicago-il-1748420,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300
9039 South Phillips Avenue,Chicago,IL,60617, Cook County,2025-07-30,12:00 PM,24 CH 2853,https://www.auction.com/details/9039-s-phillips-ave-chicago-il-1769931,Auction.com,LOGS Legal Group LLP,(847) 291-1717
15413 South Ellis Avenue,Dolton,IL,60419, Cook County,2025-07-30,12:00 PM,24 CH 02580,https://www.auction.com/details/15413-ellis-ave-dolton-il-1772920,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088
116 West 108th Street,Chicago,IL,60628, Cook County,2025-07-30,12:00 PM,24 CH 03342,https://www.auction.com/details/116-w-108th-st-chicago-il-1774528,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088
11830 South Watkins Avenue,Chicago,IL,60643, Cook County,2025-07-30,12:00 PM,23 CH 6058,https://www.auction.com/details/11830-s-watkins-ave-chicago-il-1774809,Auction.com,LOGS Legal Group LLP,(847) 291-1717
16615 Parkside Ave,South Holland,IL,60473, Cook County,2025-07-30,12:00 PM,2019CH07555,https://www.auction.com/details/16615-parkside-ave-south-holland-il-1780634,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300
9232 S Loomis Street,Chicago,IL,60620, Cook County,2025-07-30,12:00 PM,2023CH09779,https://www.auction.com/details/9232-s-loomis-st-chicago-il-1784296,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960
12 Elaine Road,Sheridan,AR,72150, Grant County,2025-07-30,11:30 AM,359684,https://www.auction.com/details/12-elaine-rd-sheridan-ar-1779705,Auction.com,Wilson and Associates PLLC,(501) 219-9388
620 Cambridge Road,Hueytown,AL,35023, Jefferson County,2025-07-30,11:00 AM,25-00872-LC-A...,https://www.auction.com/details/620-cambridge-rd-hueytown-al-1763049,Auction.com,"Tiffany & Bosco, P.A.",(205) 930-5200
1713 Savannah Park,Birmingham,AL,35216, Jefferson County,2025-07-30,11:00 AM,30-FC-25-0120...,https://www.auction.com/details/1713-savannah-park-vestavia-hills-al-1773022,Auction.com,"Spina and Lavelle, PC",(205) 298-1800
1004 Coleman Dr,Mc Calla,AL,35111, Jefferson County,2025-07-30,11:00 AM,25-06908AL,https://www.auction.com/details/1004-coleman-dr-mc-calla-al-1784471,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(770) 643-7200
2241 East 20th Street,Douglas,AZ,85607, Cochise County,2025-07-30,11:00 AM,AZ-25-1012605...,https://www.auction.com/details/2241-e-20th-st-douglas-az-1733241,Auction.com,Quality Loan Service Corporation,(866) 645-7711
