Address,City,State,Postal,County,Date,Time,Case,URL,Source,Atty,Atty_Contact
3119 MULBERRY ST,TOLEDO ,OH, 436080000,lucas,07/02/2025,10:00 AM ET,CI200906533 (2537),https://lucas.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
816 W NORTHGATE PARKWAY,TOLEDO ,OH, 43612,lucas,07/02/2025,10:00 AM ET,CI202304741 (2538),https://lucas.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
3622 HOILES AVE,TOLEDO ,OH, 436120000,lucas,07/02/2025,10:00 AM ET,CI202403535 (2539),https://lucas.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
3340 BRODBECK PL,CINCINNATI ,OH, 45211,hamilton,07/02/2025,11:00 AM ET,A1905796 (11072),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
2605 HARRISON AVE,CINCINNATI ,OH, 45211,hamilton,07/02/2025,11:00 AM ET,A2400376 (11077),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
1774 VICTORIA COURT,CINCINNATI ,OH, 45215,hamilton,07/02/2025,11:00 AM ET,A2002969 (11080),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
2453 DORIAN DR,CINCINNATI ,OH, 45215,hamilton,07/02/2025,11:00 AM ET,A2103365 (11084),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
6611 VINE STREET,CINCINNATI ,OH, 45216,hamilton,07/02/2025,11:00 AM ET,A2405276 (11083),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
4901 CHALET DRIVE,CINCINNATI ,OH, 45217,hamilton,07/02/2025,11:00 AM ET,A2302753 (11076),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
517 RIDDLE ROAD,CINCINNATI ,OH, 45220,hamilton,07/02/2025,11:00 AM ET,A2500633 (11074),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
7425 MARTIN STREET,CINCINNATI ,OH, 45231,hamilton,07/02/2025,11:00 AM ET,A2500815 (11075),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
4131 SIBLEY AVENUE,CINCINNATI ,OH, 45236,hamilton,07/02/2025,11:00 AM ET,A2402447 (11086),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
9289 MCKINNEY RD,CINCINNATI ,OH, 45249,hamilton,07/02/2025,11:00 AM ET,A2404395 (11087),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
10170 SNOWFLAKE LN,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2201677 (11081),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
11888 LICK RD,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2204088 (11085),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
9503 HADDINGTON CT,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2401286 (11078),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
10220 WINDSWEPT LN,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2401552 (11079),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
3252 DESHLER DR,CINCINNATI ,OH, 45251,hamilton,07/02/2025,11:00 AM ET,A2405691 (11073),https://hamilton.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/02/2025,Realforeclose.com,,
7503 ROCKY RIDGE RD SW,STONECREEK ,OH, 43840,tuscarawas,07/03/2025,09:00 AM ET,2024 CF 10 0920 (0),https://tuscarawas.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
"30 PROVIDENCE DRIVE, UNIT 12",FAIRFIELD ,OH, 450140000,butler,07/03/2025,09:30 AM ET,CV24051038 (4089),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
916 GREENWOOD AVENUE,HAMILTON ,OH, 450110000,butler,07/03/2025,09:30 AM ET,CV24091897 (4092),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
671 RIDGEWOOD AVENUE,HAMILTON ,OH, 450130000,butler,07/03/2025,09:30 AM ET,CV24102019 (4088),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
1610 GERMANTOWN ROAD,MIDDLETOWN ,OH, 450420000,butler,07/03/2025,09:30 AM ET,CV24122478 (4093),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
"7584 SHAWNEE LANE, UNIT 326",WEST CHESTER ,OH, 450690000,butler,07/03/2025,09:30 AM ET,CV24030609 (4091),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
14895 GAR HWY,CHARDON ,OH, 44024,geauga,07/03/2025,10:00 AM ET,24F000386 (0),https://geauga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
9603 MAYFIELD RD,CHESTERLAND ,OH, 44026,geauga,07/03/2025,10:00 AM ET,23F000071 (0),https://geauga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/03/2025,Realforeclose.com,,
2317 TAMPA AVENUE,CLEVELAND ,OH, 441090000,cuyahoga,07/07/2025,09:00 AM ET,CV24108077 (51672),https://cuyahoga.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
