Address,City,State,Postal,County,Date,Time,Case,URL,Source,Atty,Atty_Contact
2605 Harrison Avenue,Cincinnati,OH,45211,HAMILTON,2025-07-02,09:00AM,,https://www.xome.com/auctions/2605-Harrison-Avenue-Cincinnati-OH-45211-402381941,Xome.com,"Brock and Scott, PLLC",910-202-2750
13270 Doylestown Rd,Rittman,OH,44270,WAYNE,2025-07-02,09:00AM,,https://www.xome.com/auctions/13270-Doylestown-Rd-Rittman-OH-44270-400039770,Xome.com,Reimer Law Co.,440-600-5500
3220 Cavanaugh Ave,Cincinnati,OH,45211,HAMILTON,2025-07-02,09:00AM,,https://www.xome.com/auctions/3220-Cavanaugh-Ave-Cincinnati-OH-45211-406926491,Xome.com,LOGS Legal Group LLP,513-396-8100
11002 Isadora Pl,Chesterfield,VA,23838,CHESTERFIELD,2025-07-02,09:30AM,,https://www.xome.com/auctions/11002-Isadora-Pl-Chesterfield-VA-23838-405917179,Xome.com,"Samuel I. White, P.C.",757-490-9284
6683 Ballinger Ave,San Diego,CA,92119,SANDIEGO,2025-07-02,10:00AM,,https://www.xome.com/auctions/6683-Ballinger-Ave-San-Diego-CA-92119-407069897,Xome.com,"Nestor Solutions, LLC","214 5th St, Suite 205, Huntington Beach, CA 92648"
434 Chalmers St,Flint,MI,48503,GENESEE,2025-07-02,10:00AM,,https://www.xome.com/auctions/434-Chalmers-St-Flint-MI-48503-406996653,Xome.com,Orlans Law Group PLLC,248-502-1400
119 Shady Ln,Monroe,LA,71203,OUACHITA,2025-07-02,10:00AM,,https://www.xome.com/auctions/119-Shady-Ln-Monroe-LA-71203-406765382,Xome.com,"The Law Offices of Herschel C. Adcock, Jr., L.L.C.",225-756-0373
3013 21st Ave,Beaver Falls,PA,15010,BEAVER,2025-07-02,10:00AM,,https://www.xome.com/auctions/3013-21st-Ave-Beaver-Falls-PA-15010-406640650,Xome.com,LOGS Legal Group LLP,
1044 Dundee Ave,Waterloo,IA,50701,BLACKHAWK,2025-07-02,10:00AM,,https://www.xome.com/auctions/1044-Dundee-Ave-Waterloo-IA-50701-406512088,Xome.com,Dentons Davis Brown PC,515-288-2500
1983 N Academy Blvd,Colorado Springs,CO,80909,ELPASO,2025-07-02,10:00AM,,https://www.xome.com/auctions/1983-N-Academy-Blvd-Colorado-Springs-CO-80909-403994144,Xome.com,"Halliday, Watkins & Mann, P.C.",801-355-2886
4447 Huckleberry Cir,Columbiaville,MI,48421,LAPEER,2025-07-02,10:00AM,,https://www.xome.com/auctions/4447-Huckleberry-Cir-Columbiaville-MI-48421-387742482,Xome.com,"Potestivo & Associates, P.C.",248-853-4400
3285 Us Hwy 371,Prescott,AR,71857,NEVADA,2025-07-02,10:00AM,,https://www.xome.com/auctions/3285-Us-Hwy-371-Prescott-AR-71857-387583311,Xome.com,"Wilson & Associates, PLLC",501-219-9388
1416 Shadybrook Dr,Baton Rouge,LA,70816,EASTBATONROUGE,2025-07-02,10:00AM,,https://www.xome.com/auctions/1416-Shadybrook-Dr-Baton-Rouge-LA-70816-386874566,Xome.com,"Halliday, Watkins & Mann, P.C.",
